transaction_id,customer_id,order_date,product_category,product_price,quantity,payment_method,country,discount_percent,shipping_days,customer_age,customer_gender,is_returned
T100046,C2910,2022/10/26,Home,243.84,4,Cash,S. Africa,25.41,14,67.0,Female,1
T100047,C2913,04-06-2023,Electronics,152.79,4,Cash,Kenya ,17.26,9,38.0,Male,1
T100048,C1478,25-02-2023,Sports,406.65,2,Bank Transfer,Ethiopia,25.11,14,46.0,Female,0
T100049,C2479,2022/05/28,Clothing,391.86,5,Bank Transfer,Egypt,42.62,7,58.0,Female,0
T100050,C2264,12-03-2022,Home,374.65,1,Card,Ghana,,13,40.0,Male,0
T100051,C2087,2023/02/26,Clothing,44.09,5,Cash,S. Africa,7.16,5,,Female,1
T100052,C2387,14-07-2023,Sports,493.89,4,Mobile Money,Ghana,9.96,8,42.0,Female,1
T100053,C1044,2023/11/06,Electronics,344.47,1,Bank Transfer,Ghana,38.79,13,58.0,Female,0
T100054,C2286,2022/04/10,Electronics,223.21,2,Card,Egypt,37.37,3,41.0,Female,0
T100055,C1526,2023/05/09,Home,172.66,1,Cash,South Africa,43.01,7,69.0,Male,1
T100056,C1028,2022/09/28,Sports,375.76,4,Mobile Money,South Africa,23.57,9,57.0,Male,1
T100057,C2862,2023/12/19,Sports,27.45,4,Card,ethiopia,6.78,11,62.0,Female,0
T100058,C2813,2023/03/01,Sports,469.83,3,Cash,South Africa,42.77,11,59.0,Female,1
T100059,C1388,2022/05/06,Sports,109.99,1,Card,South Africa,49.44,4,66.0,Male,0
T100060,C1672,2022/06/01,Electronics,492.09,5,Mobile Money,Kenya,,1,68.0,Female,0
T100061,C1356,29-09-2022,Sports,374.1,3,Card,South Africa,,13,60.0,Female,0
T100062,C1124,2023/05/06,Sports,247.68,1,Card,Ethiopia,3.28,11,63.0,Female,1
T100063,C2035,2023/09/12,Electronics,327.2,2,Bank Transfer,South Africa,20.69,7,24.0,Female,1
T100064,C1766,2022/06/06,Sports,416.73,1,Mobile Money,ethiopia,3.0,9,25.0,Female,0
T100065,C2983,2022/10/22,Home,256.17,4,Cash,Egypt,42.27,13,32.0,Male,1
T100066,C1059,04-07-2022,Home,178.76,2,Bank Transfer,Nigeria,4.59,7,39.0,Female,1
T100067,C2590,2023/08/05,Electronics,378.45,1,Mobile Money,NIGERIA,24.28,5,50.0,Female,0
T100068,C1580,2023/11/26,Sports,157.67,5,,Ghana,47.27,13,38.0,Female,1
T100069,C1359,2022/05/13,Clothing,417.51,1,Bank Transfer,Nigeria,21.81,2,54.0,Female,1
T100070,C1592,2022/04/28,Home,474.07,3,Card,Kenya,12.17,9,37.0,Male,1
T100071,C2595,22-06-2022,Electronics,100.98,3,Cash,Ethiopia,12.8,3,59.0,Female,1
T100072,C2545,2023/08/01,Sports,441.61,5,Mobile Money,Egypt,7.55,8,68.0,Male,1
T100073,C2039,2022/03/17,Sports,187.53,1,Bank Transfer,ethiopia,47.71,1,69.0,Male,1
T100074,C2239,2023/05/03,Electronics,406.43,1,,Kenya ,49.55,10,41.0,Female,1
T100075,C2586,2022/12/13,Electronics,325.42,1,Bank Transfer,S. Africa,43.66,10,40.0,Female,0
T100076,C2218,2023/12/27,Home,323.53,2,Card,NIGERIA,,5,31.0,Female,0
T100077,C1463,21-05-2022,Home,55.06,5,Card,S. Africa,6.55,3,62.0,Male,1
T100078,C1089,2023/02/25,Clothing,307.24,4,Cash,Ghana,48.28,14,61.0,Female,1
T100079,C2575,2022/10/16,Sports,409.36,2,Mobile Money,Kenya ,43.71,2,51.0,Female,0
T100080,C2562,14-06-2022,Clothing,50.4,4,Mobile Money,NIGERIA,2.66,4,23.0,Male,1
T100081,C2906,2022/04/12,Home,73.11,4,Cash,Kenya ,,2,5.0,Female,0
T100082,C2589,23-10-2022,Electronics,212.81,4,Card,Kenya ,,9,63.0,Female,0
T100083,C2259,28-12-2022,Sports,335.77,3,Card,ethiopia,25.37,9,,Female,1
T100084,C1519,2022/01/17,Electronics,367.81,5,Mobile Money,Egypt,27.3,3,61.0,Female,0
T100085,C2661,19-05-2022,Sports,104.79,1,Mobile Money,ethiopia,19.91,8,66.0,Female,1
T100086,C2765,2022/02/18,Home,400.67,4,Bank Transfer,NIGERIA,16.95,12,69.0,Male,1
T100087,C1161,2023/03/17,Clothing,164.0,3,Mobile Money,NIGERIA,8.33,8,40.0,Female,1
T100088,C2309,28-02-2022,Sports,401.54,1,Cash,Kenya ,1.74,13,41.0,Male,0
T100089,C2390,2023/04/06,Home,43.06,3,Bank Transfer,Ghana,12.48,12,51.0,Male,1
T100090,C2587,2022/09/24,Clothing,146.36,4,Cash,Kenya,22.6,8,69.0,Female,1
T100091,C2453,2022/03/08,Home,426.42,2,Mobile Money,Kenya,49.26,4,19.0,Female,1
T100092,C2645,19-07-2023,Electronics,202.09,4,Bank Transfer,S. Africa,3.69,11,47.0,Female,0
T100093,C2798,2023/07/19,Clothing,68.87,1,Card,Ghana,8.23,12,51.0,Male,1
T100094,C1402,2023/10/13,Home,154.9,5,Cash,S. Africa,7.71,12,39.0,Male,0
T100095,C1166,2022/02/16,Home,384.64,1,Bank Transfer,ethiopia,14.48,8,69.0,Female,1
T100096,C1149,07-12-2023,Sports,234.9,2,Mobile Money,Egypt,36.71,7,41.0,Male,1
T100097,C1495,23-04-2023,Sports,52.92,4,Bank Transfer,Ethiopia,40.67,12,66.0,Female,1
T100098,C2800,2022/11/12,Electronics,255.2,2,,Ghana,24.74,11,36.0,Male,1
T100099,C1274,2022/09/28,Sports,203.29,2,Mobile Money,Kenya,19.32,9,57.0,Male,0
T100100,C2996,2022/04/10,Home,185.98,5,Bank Transfer,Nigeria,1.95,13,47.0,Male,1
T100101,C2907,2023/09/20,Sports,370.96,3,Bank Transfer,Ghana,,6,44.0,Male,1
T100102,C1543,2023/11/03,Clothing,293.84,5,Bank Transfer,South Africa,1.58,2,46.0,Male,1
T100103,C2414,2022/07/28,Sports,369.24,2,Cash,Kenya ,26.27,3,52.0,Female,1
T100104,C2249,11-05-2023,Clothing,152.76,3,Mobile Money,Kenya ,15.85,13,36.0,Female,1
T100105,C2676,2022/12/20,Clothing,147.38,3,Bank Transfer,Kenya ,10.7,5,62.0,Male,0
T100106,C1496,2022/02/21,Clothing,30.98,4,Card,Ethiopia,0.26,3,48.0,Male,1
T100107,C1657,2022/10/20,Electronics,119.95,1,Cash,Ethiopia,,14,49.0,Female,0
T100108,C1018,2022/11/02,Electronics,170.85,5,Bank Transfer,Ethiopia,42.55,4,39.0,Female,1
T100109,C2471,10-07-2022,Home,286.05,2,Bank Transfer,ethiopia,16.4,2,26.0,Male,0
T100110,C1534,28-01-2023,Home,154.46,1,Mobile Money,South Africa,3.11,5,61.0,Female,0
T100111,C2308,2022/10/30,Clothing,71.12,5,Mobile Money,ethiopia,45.64,13,31.0,Male,1
T100112,C2081,2023/12/22,Electronics,276.09,5,Cash,ethiopia,22.09,12,23.0,Female,0
T100113,C1928,2022/05/16,Sports,281.6,3,Card,Nigeria,37.29,1,62.0,Male,0
T100114,C2912,29-04-2023,Sports,72.04,4,Mobile Money,NIGERIA,22.43,7,61.0,Male,1
T100115,C1242,2022/07/02,Sports,365.29,1,Card,Kenya ,33.67,9,32.0,Female,0
T100116,C1564,2022/07/13,Electronics,331.8,1,Cash,Kenya,29.7,11,21.0,Male,1
T100117,C1898,2022/08/28,Electronics,496.77,5,Mobile Money,Egypt,11.85,11,44.0,Male,0
T100118,C2282,2023/11/27,Sports,175.49,4,Mobile Money,NIGERIA,7.46,13,33.0,Female,0
T100119,C2650,2023/04/20,Sports,280.86,2,Mobile Money,Kenya,46.11,2,30.0,Female,0
T100120,C2789,16-03-2022,Clothing,435.39,1,Cash,Kenya,37.34,4,63.0,Male,1
T100121,C2588,2022/10/17,Home,183.02,4,Card,Kenya ,38.08,4,,Male,0
T100122,C1033,2022/09/25,Sports,102.11,5,Cash,Egypt,12.87,12,49.0,Female,0
T100123,C1286,2023/07/14,Electronics,420.34,1,Card,South Africa,3.4,4,41.0,Female,1
T100124,C1032,2022/01/07,Sports,12941.26,3,Card,NIGERIA,40.31,2,51.0,Male,1
T100125,C2669,29-12-2022,Sports,479.85,2,Cash,Kenya,32.69,13,43.0,Female,0
T100126,C2304,2022/01/10,Electronics,219.79,5,Card,Nigeria,11.49,12,48.0,Male,1
T100127,C2841,2023/07/11,Electronics,425.96,-2,Cash,NIGERIA,46.44,10,42.0,Female,1
T100128,C2547,2022/05/24,Electronics,487.29,4,Cash,Egypt,30.26,10,67.0,Female,1
T100129,C2004,2022/08/22,Sports,341.45,1,Mobile Money,Kenya,4.1,12,27.0,Female,1
T100130,C1218,04-04-2022,Home,381.87,1,Cash,ethiopia,27.74,1,53.0,Female,1
T100131,C1025,2022/10/26,Electronics,281.97,2,Cash,Ethiopia,6.94,8,28.0,Female,1
T100132,C1991,2022/03/20,Clothing,250.42,4,Card,Nigeria,47.44,10,39.0,Female,0
T100133,C1615,2022/11/25,Clothing,92.93,3,Mobile Money,Kenya ,48.39,6,70.0,Female,0
T100134,C2908,01-08-2023,Clothing,277.3,4,Cash,Ghana,41.56,14,44.0,Male,1
T100135,C1495,2022/09/16,Sports,41.61,4,Bank Transfer,NIGERIA,27.18,6,69.0,Male,0
T100136,C2574,2022/09/12,Home,308.28,4,Mobile Money,NIGERIA,5.3,4,51.0,Male,1
T100137,C1766,2023/02/05,Clothing,17.16,4,Card,Ethiopia,17.42,13,48.0,Male,1
T100138,C2478,2023/12/15,Electronics,406.04,3,Card,Ethiopia,46.5,9,28.0,Female,1
T100139,C1474,2023/02/19,Clothing,218.91,5,Cash,NIGERIA,19.44,4,63.0,Male,0
T100140,C2637,04-07-2023,Home,61.41,4,Mobile Money,S. Africa,19.63,6,57.0,Female,0
T100141,C2376,2022/05/18,Clothing,95.61,5,Bank Transfer,Ethiopia,28.74,8,62.0,Male,0
T100142,C2002,23-10-2022,Home,311.61,1,Bank Transfer,NIGERIA,48.19,8,49.0,Female,1
T100143,C1342,2022/03/26,Clothing,141.05,2,Bank Transfer,Kenya ,27.49,2,52.0,Female,0
T100144,C2556,2023/03/28,Sports,415.89,3,Card,Egypt,43.11,14,67.0,Male,1
T100145,C2763,2023/12/29,Sports,73.92,2,Card,ethiopia,14.05,6,36.0,Female,0
T100146,C1277,2023/02/26,Home,67.81,2,Cash,South Africa,38.07,8,58.0,Female,1
T100147,C1925,2022/03/19,Electronics,376.15,3,Bank Transfer,Egypt,29.1,14,64.0,Female,0
T100148,C2629,2023/07/02,Sports,249.88,3,Mobile Money,Ethiopia,28.31,6,,Male,1
T100149,C1033,2022/05/08,Clothing,5.33,2,Cash,Ghana,7.95,5,41.0,Female,0
T100150,C1106,2023/02/10,Clothing,50.14,2,Bank Transfer,S. Africa,11.31,1,120.0,Female,0
T100151,C1978,14-03-2022,Electronics,55.7,3,Cash,Ethiopia,32.08,2,18.0,Male,1
T100152,C1719,2022/08/07,Clothing,309.96,2,Card,Ethiopia,37.62,7,45.0,Male,0
T100153,C1567,23-10-2023,Home,346.79,3,Cash,ethiopia,9.43,11,68.0,Female,1
T100154,C1230,2022/09/04,Electronics,488.96,3,Cash,S. Africa,21.04,3,67.0,Male,0
T100155,C1536,09-08-2022,Electronics,202.0,5,Bank Transfer,NIGERIA,4.12,10,23.0,Male,0
T100156,C2098,2022/12/01,Electronics,221.56,2,Card,NIGERIA,5.8,1,65.0,Male,0
T100157,C1025,26-12-2023,Electronics,476.74,3,Cash,Ghana,36.65,1,45.0,Male,1
T100158,C2458,2023/08/14,Sports,183.26,5,Cash,Ghana,38.67,11,32.0,Male,0
T100159,C2758,13-01-2022,Sports,460.51,1,Bank Transfer,South Africa,20.81,5,54.0,Male,0
T100160,C1457,2023/06/13,Sports,235.22,3,Mobile Money,Kenya ,0.4,10,65.0,Female,1
T100161,C2211,2023/05/21,Clothing,275.55,2,Card,Nigeria,11.65,14,18.0,Male,1
T100162,C2738,11-11-2022,Clothing,480.79,2,Mobile Money,South Africa,44.86,12,47.0,Male,0
T100163,C2035,2022/05/17,Sports,286.07,2,Cash,Egypt,46.3,14,38.0,Male,0
T100164,C2932,27-07-2022,Electronics,86.37,4,Card,South Africa,22.6,14,28.0,Female,0
T100165,C1440,02-12-2022,Clothing,201.14,3,Mobile Money,Ethiopia,1.55,8,53.0,Female,0
T100166,C2646,24-05-2022,Electronics,491.37,4,Mobile Money,Kenya,29.12,14,22.0,Female,0
T100167,C1188,06-12-2022,Sports,462.45,4,,NIGERIA,8.64,3,46.0,Male,0
T100168,C2325,2022/10/30,Sports,143.49,2,Cash,ethiopia,39.74,13,48.0,Female,1
T100169,C2869,2023/08/03,Sports,17.9,1,Mobile Money,Kenya ,26.47,4,24.0,Male,1
T100170,C2092,2022/02/27,Clothing,491.42,2,Cash,Egypt,40.31,10,62.0,Male,0
T100171,C2713,2023/05/20,Clothing,49.68,2,Card,Nigeria,16.59,13,63.0,Female,0
T100172,C1044,2022/06/01,Clothing,424.01,1,Mobile Money,NIGERIA,29.3,6,28.0,Female,1
T100173,C2329,21-11-2022,Home,296.53,3,Mobile Money,Nigeria,47.44,7,67.0,Male,0
T100174,C2233,2022/11/22,Clothing,56.53,3,Card,Egypt,8.39,2,60.0,Female,1
T100175,C1023,29-09-2022,Electronics,394.57,1,Bank Transfer,NIGERIA,48.46,8,40.0,Male,1
T100176,C2615,2023/08/15,Clothing,41.49,3,Card,Kenya,3.71,7,22.0,Male,1
T100177,C2216,2023/09/21,Electronics,328.55,4,Cash,Egypt,10.28,12,64.0,Female,1
T100178,C1486,09-04-2022,Sports,183.61,3,Bank Transfer,Nigeria,10.35,2,25.0,Female,1
T100179,C2001,08-11-2023,Sports,443.32,4,Card,Kenya ,13.17,10,66.0,Male,0
T100180,C2368,2022/12/19,Sports,296.91,4,Bank Transfer,Kenya ,28.64,5,,Male,0
T100181,C2944,05-04-2023,Clothing,405.19,4,Card,NIGERIA,10.1,3,34.0,Male,0
T100182,C1794,2023/07/24,Home,262.25,1,Bank Transfer,Ethiopia,7.41,13,24.0,Male,1
T100183,C2776,2023/07/03,Sports,329.12,4,Card,NIGERIA,7.19,12,43.0,Female,0
T100184,C1100,2023/05/02,Home,17260.79,3,Bank Transfer,Kenya,48.62,5,46.0,Female,1
T100185,C2492,2023/03/03,Electronics,109.64,4,Mobile Money,ethiopia,39.57,12,26.0,Male,0
T100186,C1394,2022/07/25,Clothing,30.03,2,Mobile Money,Kenya ,25.26,2,33.0,Female,0
T100187,C2967,2023/05/01,Home,419.64,1,,Nigeria,8.15,4,59.0,Male,1
T100188,C2334,2023/02/24,Electronics,70.5,1,Cash,Ghana,35.64,5,42.0,Female,1
T100189,C1446,2023/04/23,Sports,8.64,3,Mobile Money,Kenya,24.09,5,35.0,Female,0
T100190,C1307,2023/06/14,Electronics,402.17,3,Cash,Kenya ,49.87,7,,Male,1
T100191,C2487,01-01-2024,Sports,337.57,2,Cash,Kenya ,6.4,13,29.0,Female,0
T100192,C1455,30-12-2022,Home,443.99,5,Mobile Money,Kenya,23.53,10,57.0,Male,0
T100193,C2776,2023/11/29,Home,436.07,2,Mobile Money,S. Africa,44.64,3,63.0,Male,1
T100194,C1681,2023/10/09,Home,7.33,2,Cash,Kenya,6.47,7,48.0,Male,0
T100195,C2496,2023/01/18,Home,267.86,-1,Cash,Egypt,15.6,9,28.0,Male,1
T100196,C2942,2022/10/25,Home,344.96,4,Mobile Money,Ethiopia,47.4,7,5.0,Male,0
T100197,C2503,2022/01/23,Clothing,357.0,4,Mobile Money,S. Africa,2.43,11,,Male,1
T100198,C1909,25-01-2023,Home,80.8,1,Mobile Money,Kenya,33.12,10,44.0,Male,0
T100199,C1578,2022/04/27,Sports,103.88,5,Cash,NIGERIA,,8,62.0,Female,0
T100200,C1005,2022/01/14,Electronics,336.17,1,Card,Kenya,45.24,8,36.0,Male,0
T100201,C2665,2022/06/28,Home,340.0,1,Card,Nigeria,0.48,11,40.0,Female,0
T100202,C1763,17-12-2022,Sports,230.99,4,Bank Transfer,Ethiopia,5.65,1,28.0,Female,1
T100203,C1371,2023/09/18,Home,431.98,2,Bank Transfer,Kenya,44.38,2,,Male,1
T100204,C2063,2023/06/20,Electronics,364.69,4,Cash,ethiopia,44.6,1,28.0,Female,1
T100205,C2780,19-06-2022,Sports,168.79,5,Cash,NIGERIA,20.16,8,54.0,Female,1
T100206,C1647,2022/05/02,Electronics,209.11,1,Card,S. Africa,31.88,9,60.0,Female,1
T100207,C2690,2022/02/25,Sports,384.87,3,Bank Transfer,South Africa,0.11,11,36.0,Female,0
T100208,C1093,2022/06/18,Sports,307.37,4,Cash,South Africa,35.84,7,58.0,Male,1
T100209,C1936,2023/11/06,Clothing,7.15,5,Bank Transfer,Kenya ,46.22,3,29.0,Male,0
T100210,C1793,2023/11/05,Home,195.41,2,Mobile Money,Egypt,48.52,3,56.0,Female,1
T100211,C2457,2023/07/21,Clothing,358.62,2,Cash,Egypt,35.52,9,54.0,Female,1
T100212,C2797,2023/03/09,Electronics,7179.9,2,Mobile Money,Ethiopia,49.18,3,62.0,Male,0
T100213,C1734,09-04-2023,Clothing,282.83,3,Card,NIGERIA,20.83,11,53.0,Female,0
T100214,C2270,2023/03/30,Home,275.57,2,Mobile Money,Kenya,9.35,9,20.0,Female,0
T100215,C1329,2023/08/22,Electronics,356.3,2,Mobile Money,S. Africa,42.16,13,40.0,Female,0
T100216,C2959,2022/07/08,Clothing,270.83,2,Cash,Egypt,18.04,13,48.0,Male,0
T100217,C2369,2022/12/21,Clothing,342.86,1,Bank Transfer,Ghana,1.24,13,69.0,Female,0
T100218,C1607,30-10-2023,Electronics,87.86,5,Card,South Africa,33.52,14,24.0,Female,0
T100219,C2529,04-12-2023,Sports,23.75,2,Mobile Money,S. Africa,41.08,7,58.0,Female,0
T100220,C1797,21-11-2023,Electronics,311.08,5,Card,Kenya,17.89,5,37.0,Female,1
T100221,C1781,2023/02/09,Electronics,269.07,4,Mobile Money,Ethiopia,14.9,13,59.0,Male,0
T100222,C1252,12-02-2022,Sports,473.75,3,Cash,ethiopia,7.12,10,30.0,Male,1
T100223,C2320,17-07-2023,Electronics,102.72,3,Mobile Money,South Africa,5.0,4,46.0,Female,0
T100224,C2158,2023/08/04,Home,88.48,2,Bank Transfer,Egypt,6.72,8,40.0,Female,0
T100225,C1359,2023/10/24,Home,74.3,3,Card,Nigeria,42.48,14,43.0,Male,0
T100226,C2129,2022/09/24,Sports,78.57,5,Mobile Money,ethiopia,25.52,9,5.0,Male,0
T100227,C1913,13-06-2022,Clothing,244.33,2,Bank Transfer,Ghana,,4,68.0,Female,1
T100228,C2805,17-02-2022,Home,484.38,3,Mobile Money,S. Africa,8.69,6,22.0,Female,0
T100229,C2057,2023/02/20,Home,243.64,5,Cash,South Africa,3.85,4,28.0,Male,0
T100230,C1849,2022/12/05,Sports,242.12,4,Card,Ethiopia,28.67,11,54.0,Male,1
T100231,C2889,2022/07/04,Sports,283.98,-3,Card,S. Africa,49.64,3,44.0,Male,1
T100232,C1343,2023/12/04,Sports,39.08,2,,ethiopia,42.98,7,56.0,Female,0
T100233,C2797,2023/06/29,Electronics,331.4,5,Card,NIGERIA,26.1,1,45.0,Female,1
T100234,C1717,2023/08/27,Electronics,130.99,1,Mobile Money,ethiopia,20.43,12,18.0,Male,0
T100235,C1768,02-11-2023,Home,57.76,5,Mobile Money,ethiopia,21.18,5,43.0,Female,1
T100236,C1366,2023/01/15,Sports,156.79,4,Cash,Kenya,37.39,12,24.0,Female,1
T100237,C2640,2023/07/18,Electronics,482.46,-1,Cash,S. Africa,21.77,4,,Female,1
T100238,C2257,2023/11/03,Electronics,411.01,4,Card,ethiopia,,10,62.0,Male,0
T100239,C1736,2022/09/02,Clothing,141.59,4,Bank Transfer,ethiopia,0.77,2,64.0,Female,1
T100240,C2972,11-10-2022,Clothing,204.96,-2,Bank Transfer,ethiopia,3.62,2,34.0,Female,1
T100241,C2978,2023/01/22,Clothing,480.81,4,Card,Ghana,3.38,4,32.0,Female,1
T100242,C2057,03-07-2023,Home,51.04,3,Card,Ethiopia,23.83,10,65.0,Male,1
T100243,C2509,24-07-2022,Clothing,107.36,2,Mobile Money,Kenya,5.99,11,18.0,Male,1
T100244,C1760,2023/09/28,Home,492.28,3,Bank Transfer,S. Africa,6.41,7,,Female,1
T100245,C2762,2023/12/04,Sports,350.63,1,Card,NIGERIA,29.05,10,29.0,Male,1
T100246,C1965,2023/09/20,Clothing,109.21,3,Mobile Money,Ghana,22.54,10,70.0,Female,0
T100247,C2137,2023/03/19,Clothing,479.78,1,Cash,Ethiopia,49.78,9,38.0,Female,1
T100248,C2151,05-08-2023,Electronics,34.72,4,Card,Egypt,12.99,9,34.0,Female,0
T100249,C1719,2023/11/27,Clothing,326.68,3,Mobile Money,ethiopia,24.37,2,36.0,Male,0
T100250,C2311,2022/12/12,Sports,40.32,2,Mobile Money,Ghana,35.52,7,46.0,Female,1
T100251,C1847,21-06-2022,Electronics,121.14,1,Cash,Kenya,4.78,8,19.0,Male,0
T100252,C1537,25-09-2023,Sports,127.46,2,Cash,Ethiopia,1.43,14,48.0,Female,1
T100253,C1276,2023/12/16,Sports,319.75,5,Mobile Money,Kenya ,26.98,8,44.0,Female,0
T100254,C1000,2023/06/20,Clothing,237.25,-4,Bank Transfer,NIGERIA,39.9,13,120.0,Female,1
T100255,C1511,2022/06/17,Sports,114.19,2,Mobile Money,ethiopia,40.44,14,26.0,Female,1
T100256,C1557,2023/12/19,Clothing,80.31,1,Cash,Ghana,13.46,12,5.0,Female,0
T100257,C1700,2023/03/07,Sports,234.52,3,Card,Ethiopia,2.8,2,29.0,Female,1
T100258,C2696,13-01-2022,Clothing,487.61,1,Cash,Kenya,26.06,8,37.0,Male,0
T100259,C2525,2023/07/17,Home,152.91,1,Cash,South Africa,31.65,3,55.0,Male,0
T100260,C2984,2022/02/13,Sports,81.72,2,Cash,S. Africa,16.92,13,21.0,Male,0
T100261,C1257,15-05-2023,Home,222.17,4,Mobile Money,Ghana,44.93,8,52.0,Male,0
T100262,C2113,2022/12/23,Sports,416.52,5,Cash,Ethiopia,22.47,9,18.0,Female,0
T100263,C2808,2022/01/20,Home,123.2,5,Bank Transfer,Kenya ,38.29,5,59.0,Male,0
T100264,C1089,13-05-2022,Electronics,245.26,5,Bank Transfer,ethiopia,31.2,1,56.0,Male,0
T100265,C2342,2023/05/19,Electronics,321.26,4,Mobile Money,Nigeria,41.18,1,37.0,Male,0
T100266,C1207,2022/08/25,Clothing,330.15,2,Bank Transfer,S. Africa,17.9,11,24.0,Male,1
T100267,C2033,2022/12/12,Sports,451.73,3,Mobile Money,NIGERIA,41.31,4,31.0,Female,1
T100268,C2969,2023/04/09,Sports,5519.94,1,Cash,Ghana,0.33,4,19.0,Female,0
T100269,C1193,2022/02/08,Clothing,186.71,2,Mobile Money,Kenya,28.52,4,64.0,Female,0
